name;beschreibung;anwendung;wichtige_aspekte;key_phrases
Zeitdruck;Den Verhandlungspartner bewusst unter Zeitdruck setzen, insbesondere wenn seine Verhandlungsalternative (BATNA) im Laufe der Zeit schwächer wird.;Durch knappe Fristen oder Betonung von Dringlichkeit dafür sorgen, dass der andere schneller entscheiden muss.;Funktioniert vor allem, wenn nur der Verhandlungspartner Zeitdruck hat. Derjenige mit schwindender Alternative ist im Nachteil.;Dieses Angebot gilt nur bis Ende der Woche, danach müssen wir es zurückziehen. | Wir brauchen spätestens bis morgen früh Ihre Zusage, sonst verschiebt sich das Projekt um einen Monat. | Wenn wir uns heute nicht einigen, können wir die Promotion nächste Woche nicht mehr starten.
Mere-Exposure-Effekt;Vertrautheit schaffen durch häufige Kontakte: Menschen finden Personen oder Angebote sympathischer, je öfter sie ihnen begegnen.;Mehrere Treffen oder Gespräche (formal und informell) einplanen, statt nur eine einzelne Verhandlungsrunde.;Erfordert Zeit und regelmäßigen Kontakt – der Effekt tritt schleichend ein. Mit jeder Begegnung steigt oft die Vertrautheit und damit die Zustimmung.;Lassen Sie uns vor der Entscheidung noch ein, zwei weitere Termine vereinbaren, um alle Details zu besprechen. | Vielleicht können wir nächste Woche noch einmal telefonieren, um ein besseres Gefühl füreinander zu bekommen. | Ich schlage vor, dass wir uns regelmäßig austauschen, damit wir uns Schritt für Schritt annähern.
Kontrasteffekt;Das eigentliche Angebot durch Vergleich besser aussehen lassen: Erst sehr unattraktive Optionen präsentieren, damit das spätere Angebot vorteilhaft wirkt.;Mit bewusst ungünstigen Vorschlägen beginnen, bevor man den tatsächlich angestrebten Vorschlag unterbreitet.;Die Wahrnehmung des Gegenübers wird durch den Vergleich beeinflusst – nach einigen schlechten Optionen erscheint ein gemäßigtes Angebot attraktiver.;Wir könnten Ihre Produkte auch gar nicht ins Sortiment nehmen – aber wir würden Ihnen gerne zumindest eine kleine Fläche anbieten. | Zunächst müssten Sie die Werbekosten komplett allein tragen. Im Vergleich dazu ist unser Vorschlag, die Kosten zu teilen, sehr fair. | Entweder Sie liefern nur 100 Stück oder – was mir lieber wäre – wir nehmen 1000 Stück zu dem vereinbarten Preis.
Framing-Effekt;Die Darstellung der Optionen beeinflussen: Die bevorzugte Option als Gewinn und die Alternative als Verlust rahmen.;Den eigenen Vorschlag als Chance/Gewinn präsentieren und die Nicht-Einigung oder das Gegenangebot als Verlust herausstellen.;Menschen vermeiden Risiko bei Aussicht auf Gewinne und nehmen eher Risiko bei drohendem Verlust in Kauf – dieses Verhalten kann man durch entsprechende Darstellung nutzen.;Wenn Sie uns 5% Rabatt geben, gewinnen wir beide langfristig mehr Umsatz. Lehnen Sie ab, entgehen Ihnen diese zusätzlichen Verkäufe. | Sie sichern sich mit diesem Deal einen größeren Marktanteil – bei einem Scheitern der Verhandlung verlieren beide Seiten. | Überlegen Sie, was Sie alles gewinnen, wenn wir uns einigen: mehr Präsenz, mehr Umsatz – andernfalls wäre es ein Rückschlag.
Schmeichelei;Durch Komplimente und Anerkennung das Wohlwollen des Gegenübers gewinnen.;Den Verhandlungspartner ehrlich loben (für Erfolge, Fähigkeiten, Produkte) und Wertschätzung ausdrücken.;Menschen mögen es, geschätzt zu werden – selbst wenn die Schmeichelei durchschaubar ist, erzeugt sie oft positive Stimmung. Allerdings sollte sie glaubwürdig bleiben.;Ihre Marke gehört zu den beliebtesten bei uns – das ist auch Ihr Verdienst durch das tolle Marketing. | Sie haben wirklich ein hervorragendes Gespür für Trends, das merkt man sofort. | Mit einem so erfahrenen Partner wie Ihnen zusammenzuarbeiten, ist für uns ein großer Gewinn.
Körperliche Nähe;Räumliche Nähe herstellen, um Vertrautheit zu fördern und eine positive Verbindung aufzubauen.;Im Gespräch bewusst Nähe suchen – sich nebeneinander setzen oder in Pausen beim Gegenüber bleiben, anstatt Distanz zu wahren.;Menschen verbinden mit Personen in ihrer unmittelbaren Nähe unbewusst mehr Vertrautheit und Sympathie. Körperliche Nähe (im angemessenen Rahmen) kann das Vertrauen stärken.;Kommen Sie doch bitte hierher, dann können wir die Unterlagen gemeinsam durchgehen. | Darf ich mich neben Sie setzen, damit wir zusammen auf den Bildschirm schauen können? | Lassen Sie uns die Pause gemeinsam nutzen – ich würde mich gerne weiter mit Ihnen unterhalten.
Reziprozität;Durch kleine Gefälligkeiten oder Zugeständnisse beim Gegenüber den Drang erzeugen, sich zu revanchieren.;Dem Verhandlungspartner unerwartet etwas Gutes tun (z. B. ein kleines Geschenk, Einladung zum Kaffee) oder freiwillig ein kleines Zugeständnis machen.;Menschen fühlen sich verpflichtet, Gefallen zu erwidern. Wichtig ist, dass die Gabe als freiwillig und freundlich wahrgenommen wird, nicht als Bestechung.;Ich habe Ihnen eine Auswahl unserer neuen Produkte mitgebracht, probieren Sie gern mal. | Wir haben Ihnen bereits vorab den Vertragsentwurf vorbereitet, damit Sie weniger Arbeit haben. | Letzte Woche haben wir bei der Lieferung flexibel reagiert – vielleicht können Sie uns jetzt entgegenkommen.
Gute Stimmung;Für positive Stimmung sorgen, weil gut gelaunte Verhandlungspartner kooperativer sind.;Mit Humor, Freundlichkeit oder kleinen Aufmerksamkeiten das Gespräch auflockern und eine angenehme Atmosphäre schaffen.;Gute Laune macht kompromissbereiter – aber die Maßnahmen sollten zum Gegenüber passen und authentisch sein, um nicht aufgesetzt zu wirken.;Ich habe Ihnen Ihren Lieblingskaffee mitgebracht, so fängt das Gespräch doch gut an. | Darf ich Ihnen zum Einstieg eine kleine Aufmerksamkeit überreichen? | *(zeigt ein witziges Bild)* Dachte, das lockert die Stimmung etwas auf.
Ähnlichkeit;Gemeinsamkeiten betonen, um Vertrauen und Sympathie herzustellen.;Im Gespräch nach echten Gemeinsamkeiten suchen (Herkunft, Hobbys, Werte etc.) und diese zur Sprache bringen.;Menschen fühlen sich zu Verhandlungspartnern hingezogen, die ihnen ähnlich sind. Echte, nicht erzwungene Gemeinsamkeiten fördern die Bindung.;Sie kommen auch aus einer Händlerfamilie? Ich ebenfalls, ich kenne das seit meiner Kindheit. | Sie spielen Tennis? Ich bin auch begeisterter Tennisspieler, vielleicht begegnen wir uns mal auf dem Platz. | Interessant – Sie haben also ebenfalls in den USA studiert, das verbindet.
Sozialer Beweis;Sich auf die Meinung oder das Verhalten Anderer berufen, um das eigene Angebot attraktiver zu machen.;Zuerst eine leicht überzeugbare Person im Umfeld des Gegenübers gewinnen oder auf andere Referenzen verweisen, die bereits zugestimmt haben.;Menschen orientieren sich am Verhalten anderer, besonders in unsicheren Situationen. Zustimmung von Dritten kann Skeptiker beeinflussen.;Ihr Kollege Herr Müller war mit einem ähnlichen Vorschlag auch sehr erfolgreich. | Andere namhafte Händler haben bereits ähnliche Vereinbarungen mit uns getroffen. | In unserer Branche gilt dieses Modell inzwischen als bewährte Praxis – viele setzen bereits darauf.
